"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 16:07:25 GMT 2025","Sun Apr 06 16:07:25 GMT 2025","13","","","","","","Request Weather Info for Empty City Name",""
"broken","Sun Apr 06 16:07:24 GMT 2025","Sun Apr 06 16:07:25 GMT 2025","454","","","","","","Search Weather By Valid City",""
"passed","Sun Apr 06 16:07:24 GMT 2025","Sun Apr 06 16:07:25 GMT 2025","627","","","","","","Request Weather Info for Non Existing City Name",""
"passed","Sun Apr 06 16:07:26 GMT 2025","Sun Apr 06 16:07:26 GMT 2025","31","","","","","","Request Weather Info for Existing City Name",""
"passed","Sun Apr 06 16:07:31 GMT 2025","Sun Apr 06 16:07:36 GMT 2025","4654","","","","","","Search Weather By Invalid City",""
