"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 07:39:11 GMT 2025","Sat Apr 26 07:39:11 GMT 2025","124","","","","","","Request Weather Info for Existing City Name",""
"passed","Sat Apr 26 07:39:09 GMT 2025","Sat Apr 26 07:39:09 GMT 2025","600","","","","","","Request Weather Info for Non Existing City Name",""
"passed","Sat Apr 26 07:39:09 GMT 2025","Sat Apr 26 07:39:14 GMT 2025","5517","","","","","","Search Weather By Valid City",""
"broken","Sat Apr 26 07:39:15 GMT 2025","Sat Apr 26 07:39:27 GMT 2025","12752","","","","","","Search Weather By Invalid City",""
"passed","Sat Apr 26 07:39:10 GMT 2025","Sat Apr 26 07:39:10 GMT 2025","14","","","","","","Request Weather Info for Empty City Name",""
