"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 16 08:09:36 GMT 2025","Wed Apr 16 08:09:49 GMT 2025","13143","","","","","","Search Weather By Valid City",""
"passed","Wed Apr 16 08:09:37 GMT 2025","Wed Apr 16 08:09:37 GMT 2025","30","","","","","","Request Weather Info for Empty City Name",""
"broken","Wed Apr 16 08:09:57 GMT 2025","Wed Apr 16 08:10:10 GMT 2025","12833","","","","","","Search Weather By Invalid City",""
"passed","Wed Apr 16 08:09:36 GMT 2025","Wed Apr 16 08:09:37 GMT 2025","595","","","","","","Request Weather Info for Non Existing City Name",""
"passed","Wed Apr 16 08:09:38 GMT 2025","Wed Apr 16 08:09:38 GMT 2025","29","","","","","","Request Weather Info for Existing City Name",""
